Domain	Function	Head	Negator	Aux	Aux_stem	Subj	Subj_stem	Role	Utterance	Age
perception	possession	be	not	_	_	_	_	Mother	you 're not having them both out	30
perception	possession	yours	not	_	_	_	_	Target_Child	not yours	30
perception	existence	room	no	_	_	_	_	Mother	there 's no room	30
perception	existence	these	not	_	_	_	_	Target_Child	these not claws	30
perception	existence	you	not	_	_	_	_	Mother	can you not fit another one on	30
perception	possession	do	not	_	_	_	_	Target_Child	we do n't have much choice	61
perception	possession	can	not	_	_	_	_	Mother	but you ca n't have it til later okay	30
perception	existence	chair	no	_	_	_	_	Target_Child	no chair right here	30
perception	existence	chair	no	_	_	_	_	Target_Child	no chair right here	30
perception	existence	chair	no	_	_	_	_	Mother	there 's no chair there	30
perception	possession	do	not	_	_	_	_	Mother	no I do n't have nothing on my shirt	30
perception	existence	Repton	not	_	_	_	_	Target_Child	Nancy Repton not that way Na	36
perception	existence	everyone	not	_	_	_	_	Father	not everyone but	56
perception	existence	this	no	_	_	_	_	Father	no this is the movie he man with it 's not cartoons and it 's not toys it 's actors	56
perception	possession	have	not	_	_	_	_	Mother	we have n't had cable for a while and I forgot there is more then a few networks	56
perception	existence	movie	not	_	_	_	_	Mother	not the movie	56
perception	possession	have	not	_	_	_	_	Mother	oh Han has n't had ta move yet I was thinking Han 's doing in her daughter's house but she does n't haf ta move until the end of the oh	56
perception	possession	do	not	_	_	_	_	Mother	oh Han has n't had ta move yet I was thinking Han 's doing in her daughter's house but she does n't haf ta move until the end of the oh	56
perception	existence	duck	no	_	_	_	_	Target_Child	no dad there are no more ducks	56
perception	existence	duck	no	_	_	_	_	Target_Child	no dad there are no more ducks	56
perception	existence	pork	no	_	_	_	_	Mother	there is no more pork	56
perception	existence	pork	no	_	_	_	_	Mother	there is no more pork	56
perception	existence	more	no	_	_	_	_	Target_Child	no more	56
perception	existence	face	not	_	_	_	_	Mother	not a yummy face	56
perception	existence	Dougie	not	_	_	_	_	Target_Child	but not Dougie not old Dougie	68
perception	possession	mine	not	_	_	_	_	Target_Child	not mine he finished right there	68
perception	existence	one	no	_	_	_	_	Target_Child	no one	68
perception	existence	more	no	_	_	_	_	Target_Child	it wo n't grow back no more	68
perception	possession	do	not	_	_	_	_	Mother	you do n't have a big chair like that in your bedroom do you	59
perception	existence	page	no	_	_	_	_	Target_Child	anyway there 's no more pages	59
perception	existence	page	no	_	_	_	_	Target_Child	anyway there 's no more pages	59
perception	existence	rest	not	_	_	_	_	Target_Child	well maybe a different kind of tree because this is this size but not the rest of sizes	59
perception	existence	rest	not	_	_	_	_	Mother	not the rest of sizes	59
perception	possession	mine	no	_	_	_	_	Target_Child	no mine	22
perception	existence	magnet	no	_	_	_	_	Mother	the tractor ca n't tow them because there 's no magnet on it	25
perception	existence	you	not	_	_	_	_	Mother	are you not buying bananas	25
perception	existence	pound	not	_	_	_	_	Mother	not pounds	25
perception	existence	Anna	not	_	_	_	_	Mother	it 's Anna not Nana	25
